VG1,VG2,Vd,Vsint,Vb,Id,Iemit_q1
0.2,0.0,1.0,0.107112,0.251754,1.24378E-11,0
0.2,0.15,1.0,0.106531,0.251717,1.27708E-11,0
0.2,0.3,1.0,0.0768365,0.248889,4.88521E-11,0
0.4,0.0,1.0,0.235008,0.255794,1.89812E-11,0
0.4,0.15,1.0,0.234561,0.255784,1.9356E-11,0
0.4,0.3,1.0,0.208554,0.255183,6.05838E-11,0
0.6,0.0,1.0,0.373707,0.258731,2.67167E-11,0
0.6,0.15,1.0,0.373302,0.258723,2.71118E-11,0
0.6,0.3,1.0,0.349763,0.258248,7.07467E-11,0
