device,vgs,vds,vbs,id,gm,gds,gmb,vth,vdsat,cgg,cgs,cgd,cdb,csb
M1,0.8,1.5,0.3,0.000115569,0.000493977,7.91528E-05,0.000286298,0.518732,0.208757,6.84789E-16,-7.60759E-16,4.83286E-17,-1.2065E-16,-1.80859E-16
M2,0.8,1.5,0.3,2.10587E-05,0.000187546,1.65179E-06,5.71823E-05,0.639368,0.159369,1.31931E-15,-1.16071E-15,2.05695E-18,-1.30433E-16,-1.95539E-16
M1,0.8,2.0,-0.3,2.48317E-05,0.000266698,7.94923E-06,2.35703E-05,0.754772,0.0985024,6.46515E-16,-5.38037E-16,-6.64167E-21,-1.84114E-17,-2.76084E-17
M2,0.8,2.0,-0.3,3.74186E-06,6.03942E-05,4.68577E-07,1.16085E-05,0.78172,0.0861073,1.2234E-15,-1.05801E-15,2.7708E-18,-7.51033E-17,-1.1263E-16
M1,0.8,2.0,0.0,5.5926E-05,0.000402984,2.62753E-05,0.000269598,0.66517,0.142191,6.65441E-16,-8.1512E-16,1.41173E-17,-1.34997E-16,-2.02444E-16
M2,0.8,2.0,0.0,9.36059E-06,0.000118222,8.97249E-07,2.77629E-05,0.718541,0.117137,1.27525E-15,-1.11224E-15,2.47241E-18,-9.62114E-17,-1.44281E-16
M1,0.8,2.0,0.3,0.000156808,0.000538455,8.55905E-05,0.000387591,0.464704,0.231307,6.88053E-16,-8.07864E-16,4.75964E-17,-1.49392E-16,-2.24015E-16
M2,0.8,2.0,0.3,2.18461E-05,0.0001925,1.54665E-06,5.855E-05,0.638153,0.160102,1.31958E-15,-1.16029E-15,2.08887E-18,-1.30172E-16,-1.95201E-16
M1,1.0,0.05,-0.3,2.31982E-05,9.08815E-05,0.000392658,8.09123E-06,0.754786,0.205367,7.94905E-16,-3.49591E-16,-3.47402E-16,-3.35381E-17,-3.46902E-17
M2,1.0,0.05,-0.3,1.07064E-05,5.08863E-05,0.000182039,1.03619E-05,0.787872,0.204753,1.57789E-15,-8.23087E-16,-6.54164E-16,-1.46035E-16,-1.49515E-16
M1,1.0,0.05,0.0,2.6172E-05,8.90435E-05,0.000450737,1.22674E-05,0.722196,0.217903,7.98543E-16,-3.72685E-16,-3.32086E-16,-5.01657E-17,-5.17614E-17
M2,1.0,0.05,0.0,1.41918E-05,5.07562E-05,0.000247726,1.30355E-05,0.723986,0.23941,1.59642E-15,-8.22531E-16,-6.80626E-16,-1.81145E-16,-1.85467E-16
M1,1.0,0.05,0.3,3.04792E-05,8.63287E-05,0.000538644,1.68893E-05,0.675414,0.234161,8.03246E-16,-4.11033E-16,-2.89839E-16,-6.89596E-17,-7.15196E-17
M2,1.0,0.05,0.3,1.86881E-05,4.95952E-05,0.000332864,1.736E-05,0.64289,0.277337,1.61423E-15,-8.29222E-16,-7.03011E-16,-2.38736E-16,-2.45465E-16
M1,1.0,0.2,-0.3,5.73716E-05,0.000296034,0.000103208,2.50287E-05,0.754785,0.205367,7.36201E-16,-4.93893E-16,-1.41462E-16,-2.53295E-17,-3.08722E-17
M2,1.0,0.2,-0.3,2.59046E-05,0.000169765,3.75349E-05,3.29655E-05,0.787399,0.205054,1.3981E-15,-1.10964E-15,-1.60485E-16,-1.05762E-16,-1.30695E-16
M1,1.0,0.2,0.0,6.80971E-05,0.000299039,0.000144374,5.16827E-05,0.71781,0.219917,7.45569E-16,-5.32235E-16,-1.37549E-16,-5.1108E-17,-6.04505E-17
M2,1.0,0.2,0.0,3.73048E-05,0.000180244,7.33816E-05,4.34983E-05,0.723567,0.239659,1.44487E-15,-1.10176E-15,-2.25658E-16,-1.3973E-16,-1.65386E-16
M1,1.0,0.2,0.3,8.57317E-05,0.000298829,0.000228297,6.71878E-05,0.659206,0.241018,7.58483E-16,-5.57274E-16,-1.14113E-16,-6.61428E-17,-7.85703E-17
M2,1.0,0.2,0.3,5.24849E-05,0.000183113,0.000129123,5.90113E-05,0.642526,0.277535,1.49417E-15,-1.08928E-15,-2.98614E-16,-1.83702E-16,-2.19328E-16
M1,1.0,0.5,-0.3,7.19824E-05,0.000392168,3.06745E-05,3.25748E-05,0.754783,0.205368,6.74656E-16,-5.67228E-16,-3.59951E-18,-1.95374E-17,-2.87899E-17
M2,1.0,0.5,-0.3,2.96976E-05,0.000212086,5.7871E-06,4.06831E-05,0.786452,0.205655,1.30888E-15,-1.16356E-15,-9.5322E-19,-8.26887E-17,-1.22632E-16
M1,1.0,0.5,0.0,9.00743E-05,0.000415043,4.97433E-05,0.000105696,0.709037,0.223906,6.81902E-16,-6.48403E-16,1.04466E-17,-5.50637E-17,-8.10329E-17
M2,1.0,0.5,0.0,4.43625E-05,0.000247546,8.84955E-06,5.82287E-05,0.722729,0.240156,1.33023E-15,-1.18499E-15,-2.90961E-18,-1.0292E-16,-1.52194E-16
M1,1.0,0.5,0.3,0.000125939,0.000447031,0.000101584,0.000135273,0.626789,0.254253,6.92764E-16,-6.75876E-16,4.5324E-17,-6.70083E-17,-9.81321E-17
M2,1.0,0.5,0.3,6.56473E-05,0.000281847,1.39672E-05,8.61513E-05,0.641797,0.277929,1.35716E-15,-1.21795E-15,-5.67345E-18,-1.37409E-16,-2.02362E-16
M1,1.0,1.0,-0.3,8.45727E-05,0.000436457,2.22145E-05,3.6036E-05,0.754779,0.20537,6.72291E-16,-5.68063E-16,-2.09811E-19,-1.91684E-17,-2.86871E-17
M2,1.0,1.0,-0.3,3.17336E-05,0.000225474,3.14939E-06,4.30645E-05,0.784875,0.206656,1.3058E-15,-1.16287E-15,2.75258E-18,-8.1465E-17,-1.22004E-16
M1,1.0,1.0,0.0,0.000111913,0.000467888,4.07674E-05,0.000185514,0.694414,0.230433,6.80161E-16,-7.14814E-16,1.43994E-17,-8.22008E-17,-1.23053E-16
M2,1.0,1.0,0.0,4.72679E-05,0.000263687,4.24892E-06,6.17407E-05,0.721333,0.240984,1.32619E-15,-1.18446E-15,2.27026E-18,-1.01116E-16,-1.51398E-16
M1,1.0,1.0,0.3,0.000173799,0.000512966,9.38866E-05,0.000228098,0.57276,0.274992,6.91975E-16,-7.3102E-16,4.98996E-17,-9.39462E-17,-1.40561E-16
M2,1.0,1.0,0.3,6.98775E-05,0.00030176,5.79577E-06,9.16852E-05,0.640582,0.278587,1.3519E-15,-1.2178E-15,1.73883E-18,-1.34455E-16,-2.01237E-16
M1,1.0,1.5,-0.3,9.50768E-05,0.000464812,2.01223E-05,3.82219E-05,0.754775,0.205372,6.72118E-16,-5.68037E-16,-4.6181E-20,-1.91346E-17,-2.86783E-17
M2,1.0,1.5,-0.3,3.31219E-05,0.000232948,2.50729E-06,4.4325E-05,0.783297,0.207656,1.30578E-15,-1.16235E-15,2.97276E-18,-8.11279E-17,-1.21621E-16
M1,1.0,1.5,0.0,0.000131884,0.000500609,3.94526E-05,0.000269962,0.679792,0.236814,6.8085E-16,-7.80294E-16,1.45764E-17,-1.10376E-16,-1.65455E-16
M2,1.0,1.5,0.0,4.9091E-05,0.000271731,3.21376E-06,6.34093E-05,0.719937,0.241811,1.32604E-15,-1.1838E-15,2.54615E-18,-1.00729E-16,-1.50995E-16
M1,1.0,1.5,0.3,0.000220911,0.000549237,9.47033E-05,0.000322945,0.518732,0.294253,6.93976E-16,-7.81414E-16,4.93852E-17,-1.22544E-16,-1.83663E-16
M2,1.0,1.5,0.3,7.22932E-05,0.000310479,4.1474E-06,9.40293E-05,0.639368,0.279243,1.35165E-15,-1.21701E-15,2.0872E-18,-1.33975E-16,-2.00805E-16
M1,1.0,2.0,-0.3,0.000104911,0.000487964,1.95137E-05,4.0009E-05,0.754772,0.205374,6.72075E-16,-5.68021E-16,-1.50185E-20,-1.91253E-17,-2.86759E-17
M2,1.0,2.0,-0.3,3.43065E-05,0.000238643,2.29909E-06,4.52439E-05,0.78172,0.208654,1.30599E-15,-1.16192E-15,3.01789E-18,-8.08617E-17,-1.21256E-16
M1,1.0,2.0,0.0,0.000151581,0.000525387,3.96435E-05,0.000358561,0.66517,0.243052,6.81639E-16,-8.45624E-16,1.46012E-17,-1.38697E-16,-2.07981E-16
M2,1.0,2.0,0.0,5.05835E-05,0.000277534,2.85084E-06,6.45607E-05,0.718541,0.242637,1.32615E-15,-1.18324E-15,2.60038E-18,-1.00446E-16,-1.50619E-16
M1,1.0,2.0,0.3,0.000268546,0.000572632,9.59535E-05,0.000418604,0.464704,0.312226,6.95895E-16,-8.27364E-16,4.85204E-17,-1.51397E-16,-2.27005E-16
M2,1.0,2.0,0.3,7.41838E-05,0.000316429,3.54609E-06,9.55672E-05,0.638153,0.279899,1.3517E-15,-1.21631E-15,2.1528E-18,-1.33665E-16,-2.00419E-16
