device,vgs,vds,vbs,id,gm,gds,gmb,vth,vdsat,cgg,cgs,cgd,cdb,csb
M2,0.2,2.0,-0.3,2.92148E-13,9.38645E-12,6.21767E-14,2.05122E-12,0.78172,0.0450241,3.93936E-16,-2.35362E-18,5.33943E-21,-1.72918E-19,-2.59334E-19
M1,0.2,2.0,0.0,2.8213E-10,8.69927E-09,3.78981E-10,5.91134E-09,0.66517,0.0445685,2.66403E-16,-1.08445E-16,1.85534E-18,-2.06359E-17,-3.09486E-17
M2,0.2,2.0,0.0,2.94088E-12,9.19625E-11,5.83865E-13,2.48916E-11,0.718541,0.0436744,4.52598E-16,-6.48507E-18,1.28723E-20,-6.29507E-19,-9.44099E-19
M1,0.2,2.0,0.3,1.20955E-07,3.10073E-06,3.91449E-07,2.23317E-06,0.464704,0.0430347,4.86811E-16,-4.02312E-16,2.36737E-17,-8.38019E-17,-1.2568E-16
M2,0.2,2.0,0.3,5.06483E-11,1.51003E-09,9.29064E-12,5.41521E-10,0.638153,0.0416131,5.51545E-16,-2.2038E-17,3.58704E-20,-3.09718E-18,-4.64496E-18
M1,0.4,0.05,-0.3,1.21653E-09,3.68623E-08,9.2217E-09,3.66963E-09,0.754786,0.045789,3.35151E-16,-1.66269E-16,-2.44543E-17,-8.85978E-18,-1.13293E-17
M2,0.4,0.05,-0.3,8.97055E-11,2.84342E-09,5.62315E-10,5.91314E-10,0.787872,0.0450327,3.94852E-16,-3.43379E-17,-1.99785E-18,-3.23359E-18,-4.41239E-18
M1,0.4,0.05,0.0,3.53303E-09,1.01682E-07,2.92899E-08,1.49203E-08,0.722196,0.0447143,3.93459E-16,-2.09731E-16,-2.93914E-17,-1.65704E-17,-2.07571E-17
M2,0.4,0.05,0.0,7.56564E-10,2.28403E-08,4.57556E-09,5.7941E-09,0.723986,0.0437019,4.84886E-16,-9.01337E-17,-5.63304E-18,-1.0641E-17,-1.44284E-17
M1,0.4,0.05,0.3,1.46359E-08,3.83315E-07,1.4819E-07,7.79059E-08,0.675414,0.0432797,4.77429E-16,-2.75437E-16,-3.08462E-17,-3.11527E-17,-3.75011E-17
M2,0.4,0.05,0.3,9.02789E-09,2.44013E-07,5.19353E-08,8.01809E-08,0.64289,0.041877,6.86805E-16,-2.62304E-16,-2.06593E-17,-4.1821E-17,-5.54419E-17
M1,0.4,0.2,-0.3,1.82678E-09,5.53534E-08,3.06282E-09,5.49292E-09,0.754785,0.045789,3.25999E-16,-1.79792E-16,-8.34432E-19,-7.31924E-18,-1.0783E-17
M2,0.4,0.2,-0.3,1.10314E-10,3.49633E-09,5.65828E-11,7.25026E-10,0.787399,0.0450323,3.93965E-16,-3.52548E-17,5.90243E-21,-2.92303E-18,-4.3287E-18
M1,0.4,0.2,0.0,6.01186E-09,1.72184E-07,1.51902E-08,3.20523E-08,0.71781,0.0447137,3.85636E-16,-2.4235E-16,4.61314E-18,-1.7255E-17,-2.53891E-17
M2,0.4,0.2,0.0,9.24363E-10,2.79018E-08,4.59025E-10,7.05664E-09,0.723567,0.0437019,4.82304E-16,-9.24453E-17,-2.9077E-20,-9.53264E-18,-1.41097E-17
M1,0.4,0.2,0.3,3.34326E-08,8.52021E-07,1.49595E-07,2.05414E-07,0.659206,0.0433609,4.74835E-16,-3.35569E-16,2.46441E-17,-3.00403E-17,-4.39951E-17
M2,0.4,0.2,0.3,1.09388E-08,2.9577E-07,5.21405E-09,9.68215E-08,0.642526,0.0418793,6.77085E-16,-2.69478E-16,-3.01184E-19,-3.63358E-17,-5.36894E-17
M1,0.4,0.5,-0.3,2.69782E-09,8.17396E-08,2.84291E-09,8.10917E-09,0.754783,0.045789,3.25272E-16,-1.79763E-16,-5.94921E-20,-7.18525E-18,-1.07448E-17
M2,0.4,0.5,-0.3,1.23409E-10,3.9105E-09,3.75913E-11,8.09213E-10,0.786452,0.0450315,3.94247E-16,-3.56576E-17,8.48929E-20,-2.92032E-18,-4.36968E-18
M1,0.4,0.5,0.0,1.14443E-08,3.24255E-07,2.16942E-08,8.61802E-08,0.709037,0.0447152,3.95087E-16,-2.70896E-16,6.00787E-18,-2.51869E-17,-3.76652E-17
M2,0.4,0.5,0.0,1.02911E-09,3.1049E-08,2.96944E-10,7.83853E-09,0.722729,0.0437017,4.82844E-16,-9.32908E-17,1.86059E-19,-9.49922E-18,-1.42128E-17
M1,0.4,0.5,0.3,1.11291E-07,2.65027E-06,4.08245E-07,8.45105E-07,0.626789,0.0436893,5.07563E-16,-3.9887E-16,2.98225E-17,-4.3247E-17,-6.46336E-17
M2,0.4,0.5,0.3,1.21074E-08,3.27019E-07,3.25789E-09,1.06893E-07,0.641797,0.0418839,6.77747E-16,-2.70926E-16,4.25079E-19,-3.60187E-17,-5.38808E-17
M1,0.4,1.0,-0.3,4.1197E-09,1.24811E-07,2.85859E-09,1.23801E-08,0.754779,0.045789,3.25171E-16,-1.79704E-16,-6.69139E-21,-7.16543E-18,-1.07398E-17
M2,0.4,1.0,-0.3,1.40952E-10,4.46477E-09,3.39823E-11,9.20673E-10,0.784875,0.0450301,3.94903E-16,-3.64325E-17,9.29553E-20,-2.97191E-18,-4.45492E-18
M1,0.4,1.0,0.0,2.65143E-08,7.36036E-07,4.02743E-08,2.93368E-07,0.694414,0.0447281,4.12541E-16,-3.22223E-16,6.57814E-18,-4.0466E-17,-6.0654E-17
M2,0.4,1.0,0.0,1.16599E-09,3.51505E-08,2.62338E-10,8.84752E-09,0.721333,0.0437015,4.84231E-16,-9.49777E-17,2.06098E-19,-9.63356E-18,-1.44406E-17
M1,0.4,1.0,0.3,5.7613E-07,1.19015E-05,1.70446E-06,5.36632E-06,0.57276,0.0451758,5.57703E-16,-5.03025E-16,3.47084E-17,-7.01355E-17,-1.05111E-16
M2,0.4,1.0,0.3,1.35848E-08,3.66252E-07,2.79186E-09,1.19428E-07,0.640582,0.0418919,6.80331E-16,-2.74188E-16,4.83887E-19,-3.63174E-17,-5.44375E-17
M1,0.4,1.5,-0.3,5.5598E-09,1.68433E-07,2.90207E-09,1.67059E-08,0.754775,0.045789,3.25156E-16,-1.79692E-16,-1.17385E-21,-7.16186E-18,-1.07391E-17
M2,0.4,1.5,-0.3,1.58002E-10,5.00297E-09,3.4517E-11,1.02803E-09,0.783297,0.0450288,3.95591E-16,-3.72394E-17,9.57724E-20,-3.0297E-18,-4.54319E-18
M1,0.4,1.5,0.0,5.3801E-08,1.45834E-06,7.14325E-08,7.75119E-07,0.679792,0.0447586,4.30176E-16,-3.78083E-16,7.0823E-18,-5.77726E-17,-8.66309E-17
M2,0.4,1.5,0.0,1.29655E-09,3.90545E-08,2.62345E-10,9.80081E-09,0.719937,0.0437013,4.85686E-16,-9.67332E-17,2.11887E-19,-9.78717E-18,-1.46763E-17
M1,0.4,1.5,0.3,2.21241E-06,3.89869E-05,5.41083E-06,2.27842E-05,0.518732,0.0490099,5.97172E-16,-5.98305E-16,3.81589E-17,-1.00117E-16,-1.50118E-16
M2,0.4,1.5,0.3,1.49595E-08,4.02566E-07,2.7354E-09,1.30954E-07,0.639368,0.0419001,6.83063E-16,-2.77596E-16,4.96019E-19,-3.66889E-17,-5.50158E-17
